Season,Episode,Title,Director,Writers,Aired,us_viewers
3,14,"""A Matter of Perspective""",Cliff Bole,Ed Zuckerman,"February 12, 1990",10.8
3,15,"""Yesterday's Enterprise""",David Carson,Story by?: Trent Christopher Ganino & Eric A. Stillwell,"February 19, 1990",11.9
3,16,"""The Offspring""",Jonathan Frakes,René Echevarria,"March 12, 1990",10.2
3,17,"""Sins of the Father""",Les Landau,Story by?: Drew Deighan,"March 19, 1990",11.1
3,18,"""Allegiance""",Winrich Kolbe,Richard Manning & Hans Beimler,"March 26, 1990",10.2
3,19,"""Captain's Holiday""",Chip Chalmers,Ira Steven Behr,"April 2, 1990",11.7
3,20,"""Tin Man""",Robert Scheerer,Dennis Bailey[a] & David Bischoff,"April 23, 1990",10.2
3,21,"""Hollow Pursuits""",Cliff Bole,Sally Caves,"April 30, 1990",9.8
3,22,"""The Most Toys""",Timothy Bond,Shari Goodhartz,"May 7, 1990",10.3
3,23,"""Sarek""",Les Landau,Story by?: Marc Cushman & Jake Jacobs,"May 14, 1990",10.6
3,24,"""Ménage à Troi""",Robert Legato,Fred Bronson & Susan Sackett,"May 28, 1990",9.1
3,25,"""Transfigurations""",Tom Benko,René Echevarria,"June 4, 1990",10.2
3,26,"""The Best of Both Worlds, Part I""",Cliff Bole,Michael Piller,"June 18, 1990",10.1
4,1,"""The Best of Both Worlds, Part II""",Cliff Bole,Michael Piller,"September 24, 1990",12.3
4,2,"""Family""",Les Landau,Ronald D. Moore,"October 1, 1990",9.6
4,3,"""Brothers""",Rob Bowman,Rick Berman,"October 8, 1990",10.9
4,4,"""Suddenly Human""",Gabrielle Beaumont,Story by?: Ralph Phillips,"October 15, 1990",10.3
4,5,"""Remember Me""",Cliff Bole,Lee Sheldon,"October 22, 1990",11.4
4,6,"""Legacy""",Robert Scheerer,Joe Menosky,"October 29, 1990",12
4,7,"""Reunion""",Jonathan Frakes,Story by?: Drew Deighan & Thomas Perry & Jo Perry,"November 5, 1990",12.2
4,8,"""Future Imperfect""",Les Landau,J. Larry Carroll & David Bennett Carren,"November 12, 1990",12
4,9,"""Final Mission""",Corey Allen,Story by?: Kacey Arnold-Ince,"November 19, 1990",11.5
4,10,"""The Loss""",Chip Chalmers,Story by?: Hilary J. Bader,"December 31, 1990",12.2
4,11,"""Data's Day""",Robert Wiemer,Story by?: Harold Apter,"January 7, 1991",11.7
4,12,"""The Wounded""",Chip Chalmers,Story by?: Stuart Charno & Sara Charno & Cy Chermak,"January 28, 1991",12.1
4,13,"""Devil's Due""",Tom Benko,Story by?: Philip LaZebnik & William Douglas Lansford,"February 4, 1991",13
4,14,"""Clues""",Les Landau,Story by?: Bruce D. Arthurs,"February 11, 1991",12.3
4,15,"""First Contact""",Cliff Bole,Story by?: Marc Scott Zicree,"February 18, 1991",11.4
4,16,"""Galaxy's Child""",Winrich Kolbe,Story by?: Thomas Kartozian,"March 11, 1991",11.7
4,17,"""Night Terrors""",Les Landau,Story by?: Shari Goodhartz,"March 18, 1991",11.2
